Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
DigitalNote,XDN,"$134,264,934",$0.02,"6,896,380,092","$4,982,540",-0.55%,2.55%,-19.94%
BitcoinDark,BTCD,"$133,901,181",$103.89,"1,288,862","$62,367",0.40%,12.43%,-14.87%
Pura,PURA,"$132,811,602",$0.77,"172,912,410","$1,580,140",1.29%,33.40%,66.95%
XPA,XPA,"$129,352,000",$0.13,"1,000,000,000 *","$45,916",0.15%,3.31%,0.78%
ZenCash,ZEN,"$127,932,283",$38.70,"3,305,488","$1,375,860",4.35%,16.40%,-9.76%
BridgeCoin,BCO,"$127,640,880",$4.73,"27,000,000","$234,713",-2.92%,7.57%,-9.68%
Skycoin,SKY,"$126,435,032",$16.96,"7,454,676 *","$546,672",0.85%,9.76%,-19.39%
Storj,STORJ,"$124,628,750",$0.93,"133,425,493 *","$3,302,400",-0.18%,5.41%,-18.51%
Civic,CVC,"$122,343,888",$0.36,"342,699,966 *","$3,318,100",0.42%,1.76%,-20.70%
Storm,STORM,"$122,074,325",$0.03,"4,084,706,883 *","$728,362",-1.06%,8.56%,-26.85%
Substratum,SUB,"$121,904,213",$0.54,"226,091,449 *","$2,661,850",-0.15%,-1.37%,-19.57%
iExec RLC,RLC,"$119,826,252",$1.52,"79,070,793 *","$13,357,500",4.12%,27.93%,3.97%
Time New Bank,TNB,"$119,105,234",$0.05,"2,261,619,182 *","$5,663,440",3.56%,-0.63%,-30.85%
Decentraland,MANA,"$117,066,625",$0.11,"1,050,141,509 *","$6,361,770",0.12%,6.74%,-11.12%
Achain,ACT,"$116,728,200",$0.39,"300,000,000 *","$6,108,460",0.08%,13.04%,-24.00%
Aragon,ANT,"$114,917,440",$4.30,"26,694,567 *","$3,640,230",-3.15%,31.60%,-7.89%
ETHLend,LEND,"$112,386,006",$0.10,"1,076,329,355 *","$4,438,540",0.14%,7.03%,-17.30%
BLOCKv,VEE,"$112,093,988",$0.07,"1,494,971,209 *","$6,386,570",-1.48%,3.17%,-18.62%
