Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
Dotcoin,DOT,"$7,591,445",$0.03,"284,799,500 *","$23,375",-1.37%,4.45%,-18.90%
Bonpay,BON,"$7,582,826",$0.67,"11,290,301 *","$155,812",-0.46%,-3.08%,-33.13%
Zeitcoin,ZEIT,"$7,578,354",$0.00,"36,971,185,281","$12,876",-0.25%,57.67%,17.61%
Aigang,AIX,"$7,483,037",$0.42,"17,857,486 *","$183,290",1.46%,1.45%,-12.05%
Qwark,QWARK,"$7,462,533",$0.15,"51,376,102 *","$39,805",0.04%,5.03%,-15.81%
Social,SCL,"$7,418,434",$0.44,"16,714,020 *","$2,591",4.24%,9.74%,-17.90%
DigiPulse,DGPT,"$7,398,737",$5.27,"1,402,641 *","$7,923",-0.14%,7.03%,-0.92%
Verify,CRED,"$7,369,465",$0.60,"12,365,828 *","$45,942",5.75%,32.37%,11.35%
DAO.Casino,BET,"$7,341,483",$0.04,"167,270,821 *","$4,340",4.96%,2.02%,-0.57%
EuropeCoin,ERC,"$7,338,344",$0.73,"10,017,369","$3,283",-0.42%,7.86%,-14.22%
Monkey Project,MONK,"$7,271,653",$12.90,"563,816","$37,464",-1.59%,12.07%,4.25%
Bela,BELA,"$7,256,598",$0.18,"40,213,675","$196,114",-0.67%,2.03%,18.33%
Denarius,DNR,"$7,093,358",$2.98,"2,378,446","$35,285",0.84%,10.48%,-6.21%
NuShares,NSR,"$7,010,025",$0.00,"2,777,600,756 *","$40,989",-0.14%,65.53%,-50.61%
Bulwark,BWK,"$6,981,284",$2.27,"3,069,398","$166,628",-0.52%,-4.17%,-34.84%
GoldCoin,GLD,"$6,938,642",$0.17,"40,854,952","$17,379",0.56%,7.50%,-19.74%
Breakout Stake,BRX,"$6,843,618",$1.09,"6,268,082 *","$33,420",-0.20%,11.15%,-13.97%
TrueFlip,TFL,"$6,843,506",$1.10,"6,247,267 *","$144,277",-0.08%,8.88%,-3.14%
Pesetacoin,PTC,"$6,781,111",$0.05,"132,895,984","$17,748",-0.83%,1.23%,-18.88%
Dovu,DOVU,"$6,714,750",$0.11,"63,793,250 *","$9,794",-0.12%,11.50%,-42.65%
vTorrent,VTR,"$6,684,645",$0.62,"10,815,966","$11,893",0.34%,-0.74%,-5.26%
ZrCoin,ZRC,"$6,643,089",$1.74,"3,807,146 *","$56,090",-0.31%,7.05%,-10.26%
Blockpool,BPL,"$6,632,856",$0.30,"22,293,890","$6,989",2.22%,12.56%,8.83%
Uniform Fisca...,UFO,"$6,626,393",$0.00,"3,567,295,012","$7,192",-0.08%,11.78%,-20.45%
Synergy,SNRG,"$6,604,643",$1.91,"3,452,072 *","$9,700",-0.07%,11.03%,-17.27%
VeriumReserve,VRM,"$6,588,449",$4.35,"1,513,000","$87,033",-0.37%,12.40%,-22.08%
Viuly,VIU,"$6,581,194",$0.01,"666,142,421 *","$2,646,140",-2.04%,-11.61%,-55.62%
Sprouts,SPRTS,"$6,558,426",$0.00,"3,324,071,220,950 *","$25,994",1.92%,-4.49%,-40.52%
Bitmark,BTM,"$6,510,290",$0.79,"8,290,110","$18,529",-0.01%,7.95%,-10.41%
AdShares,ADST,"$6,461,032",$0.33,"19,379,103 *","$11,269",-1.11%,8.68%,-9.65%
TransferCoin,TX,"$6,432,410",$1.01,"6,350,739 *","$126,659",-2.27%,9.21%,-14.85%
Hush,HUSH,"$6,323,264",$1.91,"3,308,375","$34,198",-0.49%,-1.21%,-23.55%
Publica,PBL,"$6,285,584",$0.34,"18,582,933 *","$40,334",0.26%,-0.41%,-29.52%
ATLANT,ATL,"$6,237,967",$0.47,"13,225,026 *","$8,455",0.28%,3.75%,-18.36%
EventChain,EVC,"$6,225,162",$0.20,"31,250,497 *","$2,156",-0.07%,-16.20%,-10.17%
Jesus Coin,JC,"$6,116,015",$0.00,"14,817,183,822 *","$38,247",-0.08%,-13.10%,-46.91%
2GIVE,2GIVE,"$6,109,557",$0.01,"519,365,621","$38,491",0.01%,8.28%,-11.86%
Masternodecoin,MTNC,"$6,093,140",$0.13,"48,644,715 *","$19,578",-0.14%,5.33%,-4.65%
BitBoost,BBT,"$6,047,402",$0.47,"12,949,969 *","$2,655",-0.14%,8.45%,-14.36%
Social Send,SEND,"$6,028,771",$0.19,"32,074,754 *","$66,032",1.58%,16.05%,3.89%
Primalbase Token,PBT,"$6,026,963","$4,821.57","1,250 *","$1,234,350",0.16%,-7.04%,1.24%
Karbo,KRB,"$5,979,329",$1.11,"5,406,265","$33,454",-0.37%,9.75%,-10.30%
Kore,KORE,"$5,951,366",$2.94,"2,022,465 *","$44,581",1.67%,4.91%,-21.19%
Tracto,TRCT,"$5,907,337",$0.32,"18,406,876 *","$15,686",1.40%,1.81%,-19.93%
Creditbit,CRB,"$5,871,743",$0.35,"16,560,414 *","$48,106",-0.50%,5.97%,-18.49%
Tokes,TKS,"$5,826,697",$3.82,"1,525,553 *","$17,882",-0.15%,3.40%,-3.98%
Bitcloud,BTDX,"$5,788,598",$0.30,"19,313,223","$6,355",-0.08%,7.44%,-17.90%
MAZA,MZC,"$5,771,071",$0.01,"1,055,345,280","$38,588",2.12%,2.07%,49.67%
Farad,FRD,"$5,765,269",$0.04,"136,285,421 *","$13,475",27.94%,6.07%,4.11%
HollyWoodCoin,HWC,"$5,700,161",$5.99,"951,605","$173,043",14.32%,6.86%,-6.57%
MyWish,WISH,"$5,685,865",$0.30,"18,825,062 *","$36,660",-2.78%,9.24%,-8.19%
Obsidian,ODN,"$5,670,700",$0.23,"25,000,000 *","$79,657",0.27%,-1.93%,-31.97%
BuzzCoin,BUZZ,"$5,663,561",$0.00,"18,294,454,438","$16,250",-0.08%,18.71%,-19.31%
Yocoin,YOC,"$5,659,969",$0.05,"111,215,300","$70,455",37.47%,114.93%,33.90%
Innova,INN,"$5,647,666",$2.79,"2,024,609","$82,174",-1.94%,12.52%,-3.32%
AudioCoin,ADC,"$5,601,627",$0.01,"856,019,136","$16,430",-0.06%,2.66%,-17.92%
Blitzcash,BLITZ,"$5,531,625",$1.34,"4,129,774 *","$27,513",-1.01%,5.09%,-3.56%
HunterCoin,HUC,"$5,524,168",$0.26,"21,545,370","$44,475",-0.74%,5.39%,1.70%
DraftCoin,DFT,"$5,478,149",$1.96,"2,796,186 *","$193,691",0.33%,1.94%,-27.47%
MCAP,MCAP,"$5,464,356",$0.52,"10,490,000 *","$161,536",0.11%,6.90%,-13.00%
Breakout,BRK,"$5,453,939",$0.29,"18,653,789","$22,630",-2.10%,2.38%,-15.75%
CannabisCoin,CANN,"$5,423,474",$0.07,"77,231,176","$57,548",-1.70%,6.65%,-25.71%
Starta,STA,"$5,423,306",$1.04,"5,200,017 *","$3,181",-0.29%,11.77%,-28.19%
GoldMint,MNTP,"$5,415,820",$3.16,"1,714,996 *","$1,067,500",0.36%,2.31%,-8.28%
ExclusiveCoin,EXCL,"$5,353,793",$1.20,"4,474,470","$92,638",-0.22%,0.00%,-19.10%
Global Jobcoin,GJC,"$5,312,856",$0.40,"13,449,995 *","$39,682",0.16%,-5.76%,16.80%
FlypMe,FYP,"$5,277,758",$0.30,"17,638,681 *","$2,309",-3.47%,33.84%,-12.62%
Bowhead,AHT,"$5,175,208",$0.65,"8,000,000 *","$5,036",-0.14%,105.11%,64.43%
Bitzeny,ZNY,"$5,098,482",$0.07,"75,614,500","$12,391",-0.85%,2.90%,-34.45%
MicroMoney,AMM,"$5,013,897",$0.49,"10,309,809 *","$1,447,970",0.55%,0.97%,-17.77%
REAL,REAL,"$4,985,051",$0.50,"10,055,817 *","$2,491",-0.11%,-10.93%,-25.19%
XGOX,XGOX,"$4,977,912",$0.00,"1,516,611,178","$9,388",-0.51%,5.10%,-12.98%
Vsync,VSX,"$4,957,265",$0.03,"166,080,888","$8,482",-0.14%,-14.13%,-44.32%
Upfiring,UFR,"$4,854,318",$0.31,"15,900,000 *","$15,641",-0.69%,-0.80%,-22.91%
Wild Crypto,WILD,"$4,828,406",$0.20,"24,373,456 *","$7,617",-1.11%,1.37%,-36.46%
Regalcoin,REC,"$4,764,790",$0.37,"12,799,009","$20,688",-3.84%,0.77%,23.92%
Zero,ZER,"$4,752,315",$1.77,"2,682,090","$10,730",-1.28%,8.73%,-1.63%
Terracoin,TRC,"$4,721,224",$0.21,"22,328,378","$10,328",-0.40%,5.77%,-10.43%
Mercury Protocol,GMT,"$4,709,163",$0.03,"170,309,625 *","$3,727",0.15%,?,?
Hawala.Today,HAT,"$4,618,832",$3.09,"1,494,821 *","$31,543",0.05%,8.87%,-41.37%
SpreadCoin,SPR,"$4,576,107",$0.47,"9,643,898","$80,901",-0.89%,11.17%,4.75%
MarteXcoin,MXT,"$4,549,106",$1.57,"2,897,298","$1,888",9.43%,15.00%,-7.51%
Altcoin,ALT,"$4,531,717",$36.79,"123,175 *","$1,768",0.98%,16.38%,-27.22%
Sexcoin,SXC,"$4,505,308",$0.04,"126,175,070","$11,019",-2.50%,-2.35%,-19.66%
Carboncoin,CARBON,"$4,500,472",$0.00,"15,392,017,005","$1,862",11.10%,53.29%,19.84%
Coinlancer,CL,"$4,469,956",$0.06,"70,666,779 *","$47,476",0.87%,0.83%,-14.72%
Project Decorum,PDC,"$4,457,280",$0.09,"50,000,000 *","$27,946",0.08%,-0.68%,-28.23%
Creativecoin,CREA,"$4,389,017",$0.32,"13,564,895","$7,151",-0.08%,-2.22%,-12.55%
Ignition,IC,"$4,356,813",$13.37,"325,897","$69,763",5.70%,-6.01%,-27.96%
Opus,OPT,"$4,335,955",$0.03,"140,080,549 *","$4,762",-25.06%,-18.64%,-34.73%
Privatix,PRIX,"$4,331,107",$3.66,"1,182,668 *","$3,678",0.09%,5.59%,-29.84%
Speed Mining ...,SMS,"$4,325,659",$41.30,"104,740 *","$18,697",0.42%,3.46%,-21.64%
KiloCoin,KLC,"$4,320,970",$0.02,"196,297,971","$9,792",-5.41%,-0.40%,-23.35%
Bitswift,SWIFT,"$4,300,679",$1.11,"3,884,635 *","$17,631",-0.14%,11.13%,-21.63%
EverGreenCoin,EGC,"$4,277,003",$0.32,"13,321,301","$12,527",0.01%,4.59%,-12.64%
PutinCoin,PUT,"$4,249,451",$0.01,"352,546,231","$12,834",-0.15%,12.76%,-14.64%
TrezarCoin,TZC,"$4,208,113",$0.05,"93,132,400","$9,452",-0.09%,4.99%,-29.89%
Ethereum Movi...,EMV,"$4,206,534",$0.64,"6,566,666 *","$2,829",0.16%,-44.65%,?
Startcoin,START,"$4,152,403",$0.09,"45,079,785","$25,150",-0.42%,7.18%,-19.21%
ChainCoin,CHC,"$4,151,194",$0.28,"14,808,030","$6,854",-0.15%,6.48%,-5.55%
Renos,RNS,"$4,086,953",$0.12,"33,356,077 *","$4,804",87.15%,131.22%,97.30%
TrustPlus,TRUST,"$4,065,436",$0.13,"32,086,595 *","$12,043",-1.49%,9.01%,-15.95%
FORCE,FOR,"$4,051,541",$0.04,"115,171,937 *","$8,323",-0.27%,0.38%,2.22%
POLY AI,AI,"$4,026,943",$1.36,"2,952,369 *","$444,751",-0.76%,-18.15%,-40.28%
Bitdeal,BDL,"$3,930,461",$0.02,"175,583,793","$15,941",-4.55%,-3.31%,-47.28%
Magnet,MAG,"$3,917,798",$0.23,"16,988,330","$34,130",0.78%,15.23%,-18.25%
Qvolta,QVT,"$3,910,377",$0.58,"6,732,778 *","$7,539",0.06%,4.36%,-25.66%
Giga Watt Token,WTT,"$3,894,758",$1.34,"2,900,000 *","$7,396",0.81%,21.69%,?
TeslaCoin,TES,"$3,891,845",$0.05,"74,545,132","$9,224",-11.30%,6.31%,6.79%
DNotes,NOTE,"$3,865,792",$0.03,"132,168,348","$2,401",-0.07%,6.99%,-10.23%
Indorse Token,IND,"$3,865,435",$0.08,"46,508,192 *","$100,954",0.11%,-0.23%,-10.76%
onG.social,ONG,"$3,837,581",$0.28,"13,661,735 *","$36,415",0.16%,10.19%,-41.45%
Unity Ingot,UNY,"$3,834,909",$0.02,"202,000,000 *",$880,-0.08%,14.99%,-83.08%
Magi,XMG,"$3,832,347",$0.49,"7,758,336","$242,806",-2.19%,17.53%,0.67%
Condensate,RAIN,"$3,826,800",$0.03,"141,299,999","$8,073",-2.16%,5.56%,-17.32%
CampusCoin,CMPCO,"$3,793,880",$0.01,"352,620,548","$25,780",0.16%,-1.90%,-20.15%
e-Gulden,EFL,"$3,710,639",$0.23,"16,353,774","$14,397",-0.16%,13.51%,-6.61%
vSlice,VSL,"$3,708,883",$0.11,"33,390,496 *","$1,647",-0.38%,3.02%,-33.24%
eBoost,EBST,"$3,703,260",$0.31,"12,000,000 *","$145,079",-2.97%,14.97%,-20.98%
Ixcoin,IXC,"$3,692,207",$0.18,"20,999,088 *",$519,-0.23%,8.45%,-15.09%
Rupee,RUP,"$3,648,116",$0.16,"22,916,450","$16,141",0.92%,1.00%,-26.48%
Interstellar ...,HOLD,"$3,647,041",$0.02,"149,456,029","$15,015",-0.76%,-8.44%,-27.56%
Zephyr,ZEPH,"$3,617,150",$0.03,"125,990,535 *","$17,346",0.09%,12.36%,-5.87%
Quark,QRK,"$3,617,114",$0.01,"254,650,996","$9,650",3.24%,2.86%,-15.68%
bitJob,STU,"$3,583,808",$0.07,"48,043,991 *","$1,030,760",0.01%,5.17%,28.83%
Pylon Network,PYLNT,"$3,570,460",$10.49,"340,267 *",$712,-0.08%,-2.37%,-20.17%
IntenseCoin,ITNS,"$3,568,281",$0.01,"376,404,161","$8,675",-2.99%,4.32%,-13.91%
Pure,PURE,"$3,475,158",$1.03,"3,385,741","$10,960",13.30%,11.00%,-16.91%
Darcrus,DAR,"$3,437,348",$0.25,"13,600,388 *","$1,216",-0.23%,13.41%,-19.77%
IncaKoin,NKA,"$3,418,425",$0.00,"13,439,633,689","$1,877",-17.89%,15.16%,-25.87%
PlusCoin,PLC,"$3,377,548",$0.00,"5,172,323,624 *","$4,068",-1.95%,42.57%,-27.91%
ParkByte,PKB,"$3,329,492",$0.70,"4,764,026 *","$19,579",-0.40%,3.25%,-15.07%
Anoncoin,ANC,"$3,276,942",$1.55,"2,110,317",$812,-0.08%,-14.21%,-36.86%
Smartlands,SLT,"$3,229,724",$0.63,"5,100,896 *","$22,759",0.02%,7.70%,-24.78%
GanjaCoin,MRJA,"$3,213,114",$0.33,"9,765,294 *","$26,812",-0.14%,16.17%,61.96%
Adzcoin,ADZ,"$3,210,061",$0.07,"43,497,942","$9,417",-5.12%,7.31%,-9.17%
EquiTrader,EQT,"$3,126,837",$0.31,"10,250,781",$692,-0.14%,8.26%,-10.66%
Greencoin,GRE,"$3,117,257",$0.00,"3,831,224,641 *","$2,883",5.13%,7.88%,3.07%
CryptoPing,PING,"$3,088,123",$0.31,"9,952,089 *","$84,870",1.38%,9.44%,-15.12%
ProCurrency,PROC,"$3,036,822",$0.03,"97,118,624 *","$32,833",-4.70%,-7.92%,-31.01%
CrowdCoin,CRC,"$3,027,124",$2.36,"1,281,100","$46,796",-2.77%,2.79%,-35.47%
Ethbits,ETBS,"$3,015,229",$2.17,"1,391,604 *","$2,792",-0.14%,-6.93%,-28.56%
MagicCoin,MAGE,"$2,976,147",$0.41,"7,313,603","$3,317",1.80%,-13.58%,-33.11%
Hexx,HXX,"$2,925,697",$1.91,"1,531,899 *","$71,252",-2.68%,7.81%,6.72%
SwissBorg,CHSB,"$2,885,762",$0.05,"57,582,113 *","$625,438",2.55%,37.01%,0.76%
Embers,MBRS,"$2,852,940",$0.06,"50,000,000 *",$516,-1.10%,19.74%,-24.71%
Oceanlab,OCL,"$2,840,197",$0.06,"46,500,000 *","$5,926",0.45%,3.56%,-20.07%
TheGCCcoin,GCC,"$2,836,987",$0.00,"585,024,176 *","$3,569",-0.08%,11.60%,-15.12%
Ellaism,ELLA,"$2,797,971",$0.54,"5,196,015","$14,359",0.10%,4.47%,-28.02%
InflationCoin,IFLT,"$2,751,119",$0.00,"39,498,398,075 *","$1,896",1.47%,-9.07%,-24.35%
PiplCoin,PIPL,"$2,688,649",$0.03,"83,444,258 *","$44,685",-0.56%,19.55%,106.97%
LiteDoge,LDOGE,"$2,677,954",$0.00,"14,952,282,039 *","$2,279",0.11%,12.62%,-29.39%
ELTCOIN,ELTCOIN,"$2,657,952",$0.03,"90,000,000 *","$7,462",0.15%,0.47%,-21.21%
Dinastycoin,DCY,"$2,605,156",$0.00,"1,498,387,075","$4,682",6.36%,6.83%,-6.18%
SmileyCoin,SMLY,"$2,592,523",$0.00,"25,960,250,000","$2,617",-0.21%,3.67%,-29.14%
OP Coin,OPC,"$2,464,775",$0.02,"142,772,093 *","$31,967",-3.89%,25.81%,-32.69%
Unify,UNIFY,"$2,443,666",$0.14,"17,859,007 *","$9,060",-0.06%,12.34%,-6.90%
STRAKS,STAK,"$2,359,680",$1.17,"2,013,001","$19,373",-5.26%,-8.41%,-50.04%
DigitalPrice,DP,"$2,353,156",$0.13,"18,654,224 *","$6,091",-0.46%,-1.07%,-24.97%
42-coin,42,"$2,351,368","$55,985.00",42,"$3,023",-0.15%,10.26%,-31.80%
Cream,CRM,"$2,347,582",$0.05,"45,050,690","$3,868",-0.14%,-1.70%,-20.59%
VIVO,VIVO,"$2,190,428",$1.61,"1,360,430","$105,384",9.60%,-0.56%,-30.51%
Photon,PHO,"$2,179,364",$0.00,"21,671,630,332","$5,196",-0.01%,20.24%,-24.77%
NobleCoin,NOBL,"$2,156,371",$0.00,"2,322,174,210","$4,469",-10.13%,13.28%,-14.93%
Accelerator N...,ACC,"$2,153,415",$7.51,"286,706 *","$5,135",0.23%,-0.95%,-13.46%
ArcticCoin,ARC,"$2,112,419",$0.09,"24,646,987","$5,422",2.09%,3.39%,-22.84%
FuckToken,FUCK,"$2,075,172",$0.04,"51,392,877 *","$15,770",0.16%,4.07%,44.83%
SkinCoin,SKIN,"$2,056,562",$0.02,"88,183,483 *","$149,527",0.78%,8.58%,-6.40%
LeviarCoin,XLC,"$2,055,212",$0.19,"10,837,384","$7,531",-2.31%,0.91%,-21.75%
Moin,MOIN,"$2,044,695",$0.27,"7,447,550 *","$7,781",-4.99%,11.48%,-29.76%
Miners' Rewar...,MRT,"$2,037,810",$0.20,"10,000,000 *","$52,848",-0.27%,6.97%,-11.51%
Fastcoin,FST,"$2,023,744",$0.01,"156,913,424","$1,148",-0.08%,7.89%,-13.54%
Canada eCoin,CDN,"$1,994,203",$0.02,"97,415,544",$872,-0.05%,-1.14%,-21.05%
Intelligent T...,ITT,"$1,981,344",$0.20,"9,799,899 *","$2,491",-3.76%,17.79%,-18.75%
AurumCoin,AU,"$1,963,651",$6.59,"297,752",$504,-0.14%,7.55%,-11.57%
PetroDollar,XPD,"$1,959,333",$0.03,"63,993,275","$19,701",6.13%,15.65%,8.09%
NEVERDIE,NDC,"$1,943,636",$0.05,"41,004,200 *",$823,-1.97%,12.94%,0.98%
Linx,LINX,"$1,938,439",$0.11,"18,255,985","$10,527",-0.11%,5.56%,-21.06%
Machinecoin,MAC,"$1,902,494",$0.09,"20,556,300","$3,653",-0.71%,2.28%,-18.49%
MaxCoin,MAX,"$1,870,251",$0.03,"61,445,805","$2,862",-0.14%,-2.47%,-39.36%
Growers Inter...,GRWI,"$1,848,372",$1.57,"1,176,258 *","$2,546",-0.08%,7.58%,-10.37%
InsaneCoin,INSN,"$1,836,275",$0.10,"18,401,136","$9,180",-10.54%,1.28%,-18.68%
Unitus,UIS,"$1,824,705",$0.04,"46,785,866","$4,161",0.03%,21.15%,-13.72%
Bytecent,BYC,"$1,823,106",$0.90,"2,015,234","$39,341",-0.14%,12.86%,9.77%
Footy Cash,XFT,"$1,799,471",$0.39,"4,589,609","$4,161",0.26%,-2.34%,-40.97%
FujiCoin,FJC,"$1,760,386",$0.00,"1,310,942,755","$1,802",-2.07%,3.37%,-5.88%
WorldCoin,WDC,"$1,757,213",$0.01,"117,999,480","$3,799",0.28%,-10.29%,-3.02%
Commodity Ad ...,CDX,"$1,753,836",$0.05,"32,550,000 *","$1,255",0.14%,4.72%,-32.81%
Bitcoin Scrypt,BTCS,"$1,702,827",$0.10,"16,755,163","$3,470",2.94%,6.01%,-32.27%
Emphy,EPY,"$1,680,299",$0.22,"7,656,898 *","$1,398",0.16%,18.26%,-28.66%
Skeincoin,SKC,"$1,673,974",$0.13,"13,201,169","$2,610",-0.55%,-1.35%,-21.73%
Ethereum Cash,ECASH,"$1,653,380",$0.12,"14,100,000 *","$5,461",4.29%,3.75%,-24.35%
Zennies,ZENI,"$1,652,732",$0.00,"1,000,812,836 *","$6,186",-0.08%,8.51%,-9.67%
Copico,XCPO,"$1,645,795",$0.10,"15,746,668 *","$21,331",-1.50%,-15.21%,-41.02%
Bata,BTA,"$1,617,630",$0.32,"5,002,102","$7,995",-0.22%,-5.90%,-23.79%
UnbreakableCoin,UNB,"$1,544,777",$0.68,"2,278,150","$361,743",0.64%,1.96%,-28.05%
Legends Room,LGD,"$1,527,428",$0.76,"2,000,000 *","$22,970",-1.74%,2.55%,-20.32%
ERA,ERA,"$1,515,816",$0.01,"293,561,387","$4,165",-1.02%,14.62%,-5.65%
Jetcoin,JET,"$1,486,268",$0.22,"6,823,721 *","$5,958",-0.99%,12.35%,-18.76%
Abjcoin,ABJ,"$1,464,533",$0.18,"8,265,187","$6,928",-7.42%,8.50%,-35.05%
NetCoin,NET,"$1,461,852",$0.00,"787,126,712","$1,282",-2.84%,8.48%,-17.47%
I0Coin,I0C,"$1,440,117",$0.07,"20,988,914",$517,-0.08%,-7.52%,-9.87%
PopularCoin,POP,"$1,411,763",$0.00,"3,420,705,204","$2,918",-0.08%,-13.05%,-28.11%
Woodcoin,LOG,"$1,403,588",$0.17,"8,035,193","$6,876",-0.14%,11.30%,0.17%
WandX,WAND,"$1,403,141",$0.11,"12,244,135 *","$4,794",0.58%,20.82%,-34.82%
Aricoin,ARI,"$1,390,948",$0.01,"232,432,480","$1,206",-0.14%,8.32%,-9.97%
Fantomcoin,FCN,"$1,367,118",$0.20,"6,973,741","$1,002",-0.14%,-0.69%,-15.86%
BiblePay,BBP,"$1,360,738",$0.00,"433,498,290","$1,811",-0.08%,5.19%,-14.74%
FirstCoin,FRST,"$1,345,950",$0.72,"1,869,936","$228,769",-0.65%,-5.06%,-19.87%
PlatinumBAR,XPTX,"$1,345,414",$2.20,"610,301","$3,326",3.32%,13.30%,32.42%
Authorship,ATS,"$1,345,120",$0.02,"80,000,000 *","$2,095",0.02%,22.39%,-20.85%
RouletteToken,RLT,"$1,325,116",$0.13,"10,217,247 *","$52,089",-0.14%,20.99%,-11.18%
Soma,SCT,"$1,322,174",$0.32,"4,160,566 *","$13,641",-0.08%,15.53%,2.82%
MetalCoin,METAL,"$1,317,542",$0.02,"76,925,527 *","$7,428",-0.14%,60.73%,-11.09%
Suretly,SUR,"$1,314,593",$5.94,"221,469 *","$64,484",-5.65%,2.03%,-22.11%
Cryptonite,XCN,"$1,307,293",$0.00,"395,946,758","$3,369",-10.83%,-13.98%,-34.67%
Bitradio,BRO,"$1,275,061",$0.21,"6,152,048 *","$3,062",0.22%,4.87%,-34.22%
EthBet,EBET,"$1,268,786",$0.15,"8,502,500 *",$828,-4.53%,3.57%,-29.15%
Rupaya,RUPX,"$1,265,915",$0.18,"7,014,080","$23,173",-3.01%,4.50%,-39.52%
Guncoin,GUN,"$1,256,337",$0.01,"202,940,728","$1,171",1.61%,8.28%,-11.13%
Megacoin,MEC,"$1,221,588",$0.03,"36,853,325","$3,243",4.03%,-4.54%,-26.62%
Digitalcoin,DGC,"$1,214,498",$0.04,"28,245,713","$1,219",-3.44%,8.96%,-13.14%
Link Platform,LNK,"$1,185,574",$72.22,"16,415 *",$722,-0.08%,5.25%,-49.26%
BritCoin,BRIT,"$1,185,116",$0.06,"21,268,092","$3,146",11.37%,14.90%,-20.13%
Kubera Coin,KBR,"$1,178,365",$0.01,"114,423,294 *","$261,758",10.88%,-1.31%,-44.49%
Happycoin,HPC,"$1,151,446",$0.08,"13,608,306","$22,984",-0.08%,9.00%,-23.74%
ArbitrageCT,ARCT,"$1,134,298",$0.01,"85,955,112 *","$45,435",-0.19%,-5.10%,-21.60%
BitBar,BTB,"$1,127,009",$30.95,"36,414","$1,098",-0.14%,7.99%,-16.22%
Kobocoin,KOBO,"$1,112,455",$0.05,"24,700,248 *",$829,-0.19%,2.77%,-13.02%
Ace,ACE,"$1,083,855",$0.28,"3,850,914 *","$490,206",-0.07%,2.18%,-25.79%
Netko,NETKO,"$1,076,084",$0.22,"4,874,740","$4,208",4.93%,29.15%,4.98%
Capricoin,CPC,"$1,072,145",$0.54,"1,990,045 *","$40,406",0.78%,15.50%,-6.57%
Trollcoin,TROLL,"$1,066,345",$0.00,"569,942,334",$645,-3.30%,7.48%,-13.98%
Cryptojacks,CJ,"$1,064,970",$0.00,"406,568,581","$7,081",-1.45%,3.46%,-3.58%
DFSCoin,DFS,"$1,063,380",$0.06,"17,112,982","$12,235",0.13%,20.66%,0.74%
CryptoCarbon,CCRB,"$1,044,821",$0.29,"3,562,111 *","$4,035",0.29%,-4.86%,-20.27%
Elcoin,EL,"$1,042,769",$0.09,*,"$4,967",0.60%,8.90%,-18.75%
TittieCoin,TTC,"$1,039,880",$0.00,"1,259,816,434","$2,047",-0.14%,6.36%,-33.51%
Elementrem,ELE,"$1,019,844",$0.04,"26,011,462","$2,000",-0.08%,3.02%,-34.93%
Centurion,CNT,"$1,019,241",$0.01,"73,877,869","$2,680",-0.14%,65.14%,-50.09%
Deutsche eMark,DEM,"$1,016,510",$0.03,"35,179,820","$1,255",-0.15%,9.04%,4.11%
HomeBlockCoin,HBC,"$1,011,990",$0.20,"5,000,000","$37,155",1.63%,-1.72%,-12.27%
LanaCoin,LANA,"$996,376",$0.00,"875,781,023","$1,364",-0.08%,-0.32%,-32.81%
ERC20,ERC20,"$975,560",$0.00,"1,574,741,156 *","$137,667",-1.08%,-3.70%,-51.21%
Equal,EQL,"$966,825",$0.00,"267,973,837 *","$18,991",-2.81%,-1.80%,-25.18%
TrumpCoin,TRUMP,"$947,991",$0.14,"6,598,256","$4,023",-6.51%,14.85%,-19.58%
BlazeCoin,BLZ,"$941,846",$0.00,"608,557,394","$1,337",-0.08%,8.70%,-9.08%
Rimbit,RBT,"$935,210",$0.00,"197,581,050 *","$9,491",2.04%,21.44%,-7.66%
CryptoForecast,CFT,"$934,996",$0.02,"46,000,000 *","$1,972",-0.14%,-10.58%,-17.97%
HoboNickels,HBN,"$913,420",$0.01,"64,151,405","$1,994",-0.08%,2.97%,-15.57%
Scorecoin,SCORE,"$900,040",$0.02,"41,737,500","$1,690",-5.08%,7.65%,-20.93%
Ethereum Gold,ETG,"$899,792",$0.07,"12,000,000 *","$9,496",0.39%,7.24%,-27.85%
CarTaxi Token,CTX,"$898,104",$0.02,"39,928,144 *","$3,361",-0.27%,5.74%,-11.32%
BitTokens,BXT,"$890,031",$1.54,"578,976","$2,104",-0.14%,3.30%,-54.48%
Sovereign Hero,HERO,"$887,339",$185.91,"4,773 *",$500,-0.02%,3.90%,3.27%
QubitCoin,Q2C,"$871,595",$0.00,"248,456,429",$716,-0.08%,5.40%,-8.10%
Bitcoin Red,BTCRED,"$867,903",$0.04,"20,550,001 *","$2,470",0.17%,0.85%,-18.56%
Royal Kingdom...,RKC,"$865,679",$0.32,"2,700,000 *","$9,191",2.90%,15.19%,-37.95%
FuelCoin,FC2,"$860,293",$0.01,"101,682,668","$2,630",1.15%,9.79%,-24.88%
Halcyon,HAL,"$858,588",$0.15,"5,573,657","$1,832",-0.08%,8.84%,-34.27%
Ammo Reloaded,AMMO,"$842,621",$0.01,"77,777,777 *","$1,867",-0.08%,42.40%,-6.46%
Garlicoin,GRLC,"$835,740",$0.22,"3,860,033","$18,219",-0.51%,-2.19%,-10.30%
